track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Change Partners,Stephen Stills,Viva Las Vegas,332466,1991,0,0.286,0.453,9.0,-13.023,1.0,0.042,0.485,1.88e-06,0.757,0.565,177.257,3.0
Treetop Flyer,Stephen Stills,Viva Las Vegas,326600,1991,2,0.404,0.654,9.0,-12.6,0.0,0.105,0.104,1.29e-05,0.771,0.715,164.726,4.0
Born Under A Bad Sign,Stephen Stills,Viva Las Vegas,316160,1991,0,0.375,0.771,2.0,-11.784,1.0,0.0609,7.12e-05,0.00449,0.956,0.665,90.782,4.0
Long Time Gone,Stephen Stills,Viva Las Vegas,350000,1991,0,0.513,0.642,7.0,-12.516,1.0,0.0439,0.000794,0.00114,0.778,0.684,103.018,4.0
Dark Star,Stephen Stills,Viva Las Vegas,478800,1991,0,0.541,0.882,2.0,-11.522,1.0,0.0691,0.00173,0.0428,0.845,0.523,100.752,4.0
For What It's Worth,Stephen Stills,Viva Las Vegas,310573,1991,0,0.482,0.765,2.0,-11.122,1.0,0.056,0.113,0.00071,0.691,0.513,96.296,4.0
Woodstock,Stephen Stills,Viva Las Vegas,358066,1991,0,0.296,0.849,5.0,-11.227,1.0,0.124,0.00195,0.000177,0.42,0.318,136.968,4.0
Born In Chicago,Stephen Stills,Viva Las Vegas,298866,1991,0,0.442,0.858,2.0,-10.943,1.0,0.0931,0.000237,0.012,0.336,0.16,139.163,4.0
Devised Plans,Stephen Stills,Back in Time,101225,1989-09-19,1,0.672,0.202,8.0,-23.554,0.0,0.934,0.957,0.0,0.154,0.494,83.874,3.0
Recording Southern Cross,Stephen Stills,Back in Time,144481,1989-09-19,1,0.735,0.176,11.0,-23.377,1.0,0.897,0.965,0.0,0.352,0.56,108.721,4.0
Wham Bang Rock and Roll,Stephen Stills,Back in Time,92240,1989-09-19,0,0.563,0.154,9.0,-24.499,0.0,0.922,0.978,0.0,0.142,0.605,83.417,4.0
Never War,Stephen Stills,Back in Time,101225,1989-09-19,0,0.729,0.227,0.0,-24.227,1.0,0.936,0.963,0.0,0.217,0.436,100.48,3.0
Deterring Nuclear,Stephen Stills,Back in Time,90491,1989-09-19,0,0.757,0.189,11.0,-22.655,1.0,0.948,0.966,0.0,0.143,0.55,58.311,5.0
On Thatcher,Stephen Stills,Back in Time,116389,1989-09-19,0,0.71,0.209,11.0,-23.702,0.0,0.9,0.954,0.0,0.204,0.503,116.875,4.0
Democratic Liberals,Stephen Stills,Back in Time,121990,1989-09-19,0,0.609,0.205,4.0,-24.443,1.0,0.949,0.979,0.0,0.113,0.45,65.641,3.0
Senator Stills,Stephen Stills,Back in Time,99236,1989-09-19,0,0.715,0.193,10.0,-24.511,1.0,0.947,0.981,0.0,0.155,0.52,61.003,4.0
